model,mean_macro_f1,sd_macro_f1_across_reps,mean_balanced_accuracy,mean_macro_recall,mean_weighted_f1,mean_log_loss,mean_brier_score,mean_fit_time_seconds,total_failed_fits,probability_supported,rank_macro_f1,rank_balanced_accuracy,rank_macro_f1_consistency,rank_probability_quality,rank_training_time,rank_failed_fits,model_selection_rank_sum
Random Forest,0.8608436113294408,0.12234533348798275,0.8520207969580028,0.8520207969580028,0.9125862566758353,0.39185428867737454,0.162011500984327,6.469743990898132,0,True,1.0,1.0,3.0,2.0,6.0,1.0,14.0
K-Nearest Neighbours,0.8382329581689175,0.11496948478022964,0.8203480987197201,0.8203480987197201,0.8948080231515232,0.7518251548210779,0.14916804823687393,0.5738462368647257,0,True,3.0,3.0,2.0,4.0,2.0,1.0,15.0
Neural Network,0.8547996898332698,0.19502739084356358,0.8473908629683535,0.8473908629683535,0.9034810763577119,0.2868349382032951,0.13311943646590185,6.278811820348103,0,True,2.0,2.0,5.0,1.0,5.0,1.0,16.0
Logistic Regression,0.7545547405389877,0.3487388680761112,0.7938366485963056,0.7938366485963056,0.8066477504332893,0.773555323233207,0.29460676463581426,4.1632121483484905,0,True,4.0,4.0,6.0,5.0,3.0,1.0,23.0
Gaussian Naive Bayes,0.10075326633186955,0.029567390587968118,0.17139162465677646,0.17139162465677646,0.19202433046265596,9.160982211430868,1.3592766718788212,0.5604506015777588,0,True,7.0,7.0,1.0,7.0,1.0,1.0,24.0
Decision Tree,0.7368557963774558,0.12459612147910787,0.7356936613739787,0.7356936613739787,0.8348365554382037,2.6313991069793703,0.33011358370364,4.754743003845214,0,True,5.0,5.0,4.0,6.0,4.0,1.0,25.0
Support Vector Machine,0.7041920871041967,0.44540793355000696,0.7002853293735725,0.7002853293735725,0.7751414287206017,0.6833971266945204,0.2745291723407243,155.93973453044893,0,True,6.0,6.0,7.0,3.0,7.0,1.0,30.0
