accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,log_loss,brier_score_multiclass,fold_id,fit_time_seconds,prediction_time_seconds,n_predictors,feature_representation,model,n_folds,failed_fits,macro_f1_std,balanced_accuracy_std,log_loss_std,brier_score_std
0.7253800791775625,0.5934573421567955,0.5950282567370787,0.5934573421567955,0.5934762906526,0.7252478061999649,4.3780967712402346,0.5492398416448747,5.5,1.115141224861145,0.005671119689941407,12,NV,Decision Tree,10,0,0.012534351081029182,0.013660151336400266,0.029375792903417144,0.0036852452674330446
0.8230587136651708,0.7204647601180934,0.7396860068896078,0.7204647601180934,0.7201167116296033,0.8235061916253695,0.6487921118736267,0.27802292637293935,5.5,4.152897524833679,0.12762069702148438,12,NV,Random Forest,10,0,0.011868860302176334,0.012100203118280336,0.007215232183562177,0.0018884910025783917
0.13613591878352144,0.11064465015742717,0.14828391620538933,0.11064465015742717,0.0812287351128955,0.1294794860630443,5.621036005020142,1.2339188466301358,5.5,0.1295475959777832,0.010935640335083008,12,NV,Gaussian Naive Bayes,10,0,0.0024436232131111795,0.002802086662144181,0.07386956553395266,0.03044388275073285
0.8147669193860902,0.6859071732207385,0.7472159154700118,0.6859071732207385,0.7054936998373693,0.8120685410574495,1.401765263080597,0.26487563436891,5.5,0.1550926685333252,0.5163420677185059,12,NV,K-Nearest Neighbours,10,0,0.010563102672640236,0.009710453311654335,0.029527957714514084,0.003421266637790686
0.4847146912421829,0.19104378091439334,0.26685226513560584,0.19104378091439334,0.19082172217435336,0.4134334958609999,1.7001972556114198,0.6679899266679301,5.5,7.323552370071411,0.022171831130981444,12,NV,Support Vector Machine,10,0,0.001947589123649281,0.0011748488395115619,0.005683032456680452,0.0012942818344840613
0.7673547636979702,0.6173497628515012,0.6867980235767208,0.6173497628515012,0.6300852147977296,0.7600561708449545,0.7023568332195282,0.3248814028156001,5.5,7.948648810386658,0.006528878211975097,12,NV,Neural Network,10,0,0.01820363457070156,0.015199234278213672,0.014915213357359855,0.0066507613123464385
0.4643373470251353,0.4464228416114258,0.37321939501199924,0.4464228416114258,0.3531445799964761,0.5051103866027589,2.0210574865341187,0.7458026927120636,5.5,3.5491126775741577,0.004143285751342774,12,NV,Logistic Regression,10,0,0.0035129059195414644,0.00784240927788204,0.013212437434093938,0.002478557890782856
0.7052973737002737,0.5601050883400338,0.5617433720997081,0.5601050883400338,0.5604455124122258,0.7053028453373582,4.698262786865234,0.5894052525994524,5.5,1.6177649259567262,0.007160663604736328,18,ANV,Decision Tree,10,0,0.00954018467536764,0.009834648969121767,0.03346081211290409,0.0041977194332417315
0.7951445997766926,0.6826511800966529,0.6865040172598227,0.6826511800966529,0.6792071239042536,0.7964611333369859,0.7409638583660125,0.3039823012772792,5.5,5.606961894035339,0.14295215606689454,18,ANV,Random Forest,10,0,0.01086754832807696,0.010722856794456233,0.010039459284170514,0.0024192128898985073
0.11131112667485862,0.11153883117411911,0.11180392169926481,0.11153883117411911,0.07182106244154504,0.12237089705911512,8.136985635757446,1.5891848885382127,5.5,0.17023162841796874,0.01830439567565918,18,ANV,Gaussian Naive Bayes,10,0,0.0014326756601133006,0.0059186808693830325,0.2757198401138104,0.01178891002733905
0.7748961887160485,0.6273018686855824,0.7076086974613662,0.6273018686855824,0.6524865026416627,0.7714690789379711,1.8123770236968995,0.31602102811650723,5.5,0.16815001964569093,0.6428005933761597,18,ANV,K-Nearest Neighbours,10,0,0.009888686586855898,0.01149231228793959,0.03788268277798642,0.0035569684655297686
0.5628907814089327,0.28390605202223895,0.3754662201563537,0.28390605202223895,0.2933665274995401,0.5107326416410594,1.452456820011139,0.5900097151448802,5.5,17.665210342407228,0.02198820114135742,18,ANV,Support Vector Machine,10,0,0.0032540325045728844,0.0030344787275702633,0.004642084813443529,0.0014605656645246868
0.755145131592234,0.6099240353058584,0.6780094262558032,0.6099240353058584,0.6226386874142622,0.7467113583497773,0.7261752724647522,0.3392828599500775,5.5,8.222367930412293,0.007186317443847656,18,ANV,Neural Network,10,0,0.04377326136605999,0.04618613930123667,0.08604276143980774,0.0338256549377675
0.5468319822378273,0.546054546715407,0.4519577316457594,0.546054546715407,0.4364177129190773,0.5828014954302656,1.7863227009773255,0.6856710072085767,5.5,5.477726340293884,0.004183340072631836,18,ANV,Logistic Regression,10,0,0.003129888709606212,0.010469562058256325,0.011947331127223881,0.0022253634416587002
0.700799257925493,0.5580867578862088,0.5626231188800759,0.5580867578862088,0.5591643665960944,0.7007160385745145,4.769973421096802,0.5984014841490142,5.5,1.6146182298660279,0.006595420837402344,18,WMRV,Decision Tree,10,0,0.008687740737741985,0.009991695756893496,0.03933875181545035,0.004935115889207146
0.7824375592595976,0.6687561313398269,0.6693486324427413,0.6687561313398269,0.6637428354973091,0.784602263233993,0.7797321081161499,0.3134180415034772,5.5,4.970285439491272,0.1304708242416382,18,WMRV,Random Forest,10,0,0.0118166357080444,0.011984400142043775,0.010023212181458017,0.002605090817711104
0.11759098412201005,0.11086060252286409,0.12262864338222601,0.11086060252286409,0.07563497322195434,0.13475706962706874,7.923485326766968,1.5451752110449601,5.5,0.16447844505310058,0.014203667640686035,18,WMRV,Gaussian Naive Bayes,10,0,0.0029749216107594506,0.004431401884794897,0.22619568123193592,0.016622389306733733
0.7654395359007496,0.6187813003013185,0.6863177373081663,0.6187813003013185,0.641269119442624,0.7620860613798408,1.9380666732788085,0.32839219005480486,5.5,0.16540300846099854,0.4386481761932373,18,WMRV,K-Nearest Neighbours,10,0,0.010274192582988733,0.010873207950424457,0.03881540699250414,0.003293301395084668
0.5229003494254909,0.23999563074461355,0.310812005938135,0.23999563074461355,0.2415730790949846,0.46240607391075744,1.563522183895111,0.629770018210777,5.5,14.29280731678009,0.019743585586547853,18,WMRV,Support Vector Machine,10,0,0.0019686754304999304,0.00197444951903585,0.006696816743962108,0.0015651447590336284
0.7294133379337815,0.5665358956993274,0.6351503533729068,0.5665358956993274,0.579083798498547,0.7194915495411803,0.8040242791175842,0.37466073225604424,5.5,11.26425290107727,0.0065155506134033205,18,WMRV,Neural Network,10,0,0.021638667085095743,0.021814137181648364,0.039154310341418724,0.01691860123119165
0.49071835731442015,0.4760781419347306,0.4105438451909601,0.4760781419347306,0.3805980697919851,0.5254794511819395,1.9147940278053284,0.7261532995166664,5.5,6.023476958274841,0.004238772392272949,18,WMRV,Logistic Regression,10,0,0.005165290606604279,0.011698959024157537,0.013792805050353471,0.002711984336630526
0.9013775285825947,0.8166618333151273,0.8273589110851225,0.8166618333151273,0.8188378517620907,0.9012828840790081,1.572277593612671,0.19724494283481042,5.5,11.504237270355224,0.018004989624023436,192,KMNV,Decision Tree,10,0,0.009499957002124887,0.012179845657367664,0.030860973081056814,0.003871567501347229
