feature_representation,model,successful_bootstrap_repetitions,test_sample_size,mean_absolute_probability_change_original_predicted_class,mean_absolute_probability_change_full_probability_vector,mean_95_probability_stability_interval_width,overall_classification_switching_rate,prediction_agreement_rate
KMC,Random Forest,200,27151,0.022838941361925748,0.004259413089042747,0.08531680803053032,0.022286840263710358,0.9777131597362897
KMNV,Random Forest,200,27151,0.021526525576655384,0.004182409367063378,0.07820695962571368,0.01550016573975176,0.9844998342602482
NV,Random Forest,200,27151,0.0432612384364653,0.008054040482227614,0.17184599101684012,0.067374314021583,0.932625685978417
