feature_representation,model,requested_bootstrap_repetitions,successful_bootstrap_repetitions,n_test_observations,mean_absolute_probability_change_all_classes,mean_absolute_probability_change_reference_class,mean_probability_sd_reference_class,mean_95_probability_interval_width_reference_class,classification_switching_rate,prediction_agreement_rate
KMC,Random Forest,200,200,27151,0.004259413108229637,0.02283894084393978,0.022894812747836113,0.08531679958105087,0.022286840263710358,0.9777131597362897
KMNV,Random Forest,200,200,27151,0.00418240949511528,0.021526524797081947,0.021015604957938194,0.07820695638656616,0.01550016573975176,0.9844998342602482
NV,Random Forest,200,200,27151,0.008054040372371674,0.04326124116778374,0.046149834990501404,0.17184597253799438,0.067374314021583,0.932625685978417
