feature_representation,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,log_loss,brier_score_multiclass,fold_id,fit_time_seconds,prediction_time_seconds,n_predictors,model,n_folds,failed_fits,macro_f1_std,balanced_accuracy_std,log_loss_std,brier_score_std,rank_best_macro_f1,rank_best_balanced_accuracy,rank_macro_f1_stability,rank_training_time,rank_n_predictors,feature_selection_rank_sum
KMC,0.9628686463092171,0.9486154096983226,0.9627121412889872,0.9486154096983226,0.9543805150465502,0.9628786589163741,0.11259559020400048,0.055088073168834704,5.5,4.721479439735413,0.009337520599365235,64,Neural Network,10,0,0.004454601614403743,0.006617141258951779,0.005681660168706447,0.002976162603040736,2.0,2.0,2.0,2.0,4.0,12.0
KMNV,0.9798666635211335,0.9857677012491075,0.9901865567704153,0.9857677012491075,0.9878286810003777,0.9798592274130083,0.08435947448015213,0.03659660478714542,5.5,438.0308390855789,0.04640533924102783,192,Support Vector Machine,10,0,0.0019856401161108673,0.003963958234089175,0.002414940836092189,0.0010327738363259478,1.0,1.0,1.0,6.0,5.0,14.0
NV,0.8230587136651708,0.7204647601180934,0.7396860068896078,0.7204647601180934,0.7201167116296033,0.8235061916253695,0.6487921118736267,0.27802292637293935,5.5,4.152897524833679,0.12762069702148438,12,Random Forest,10,0,0.011868860302176334,0.012100203118280336,0.007215232183562177,0.0018884910025783917,4.0,4.0,6.0,1.0,1.0,16.0
ENV,0.8792966759599791,0.8680128763530393,0.8551488150999125,0.8680128763530393,0.8569558036814989,0.8800898167313654,0.6127066135406494,0.19052590116217866,5.5,12.621073389053345,0.11398897171020508,1536,Logistic Regression,10,0,0.004979124372188389,0.0060332492231765815,0.017152239534188384,0.0027742158613612406,3.0,3.0,3.0,5.0,6.0,20.0
ANV,0.7951445997766926,0.6826511800966529,0.6865040172598227,0.6826511800966529,0.6792071239042536,0.7964611333369859,0.7409638583660125,0.3039823012772792,5.5,5.606961894035339,0.14295215606689454,18,Random Forest,10,0,0.01086754832807696,0.010722856794456233,0.010039459284170514,0.0024192128898985073,5.0,5.0,4.0,4.0,2.0,20.0
WMRV,0.7824375592595976,0.6687561313398269,0.6693486324427413,0.6687561313398269,0.6637428354973091,0.784602263233993,0.7797321081161499,0.3134180415034772,5.5,4.970285439491272,0.1304708242416382,18,Random Forest,10,0,0.0118166357080444,0.011984400142043775,0.010023212181458017,0.002605090817711104,6.0,6.0,5.0,3.0,2.0,22.0
