accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,log_loss,brier_score_multiclass,model,fold_id,fit_time_seconds,prediction_time_seconds,fit_status,error_message,feature_representation,n_predictors
0.7251047373509507,0.5870686660392929,0.5963980881588876,0.5870686660392929,0.5904766649137547,0.7254316647283726,4.382486343383789,0.5497905252980986,Decision Tree,1,1.115607738494873,0.00528407096862793,success,,NV,12
0.7240791896869245,0.5784421749599256,0.5857306422834231,0.5784421749599256,0.5813759520467732,0.7235732604051733,4.398836135864258,0.551841620626151,Decision Tree,2,1.0743250846862793,0.005738973617553711,success,,NV,12
0.7250920810313075,0.6031832392002797,0.5911383461522863,0.6031832392002797,0.595557157795197,0.7252065176485154,4.382688045501709,0.5498158379373849,Decision Tree,3,1.0833559036254883,0.0057489871978759766,success,,NV,12
0.7270257826887662,0.601921927968852,0.6017794081893418,0.601921927968852,0.6013337139138681,0.7268003460476138,4.351860523223877,0.5459484346224678,Decision Tree,4,1.0866177082061768,0.006595134735107422,success,,NV,12
0.7256906077348066,0.5982212232434327,0.604533849484171,0.5982212232434327,0.6009433894928312,0.7254841658294513,4.373146057128906,0.5486187845303867,Decision Tree,5,1.1256740093231201,0.0055370330810546875,success,,NV,12
0.7216978960453018,0.5817663243656795,0.5800118945327463,0.5817663243656795,0.5802374287973262,0.7210585593168227,4.4367995262146,0.5566042079093965,Decision Tree,6,1.1362340450286865,0.0061969757080078125,success,,NV,12
0.7285911602209945,0.5700950051258595,0.5723594165847408,0.5700950051258595,0.5709888328448762,0.7284817985907988,4.326904296875,0.5428176795580111,Decision Tree,7,1.1507487297058105,0.005750894546508789,success,,NV,12
0.7266114180478821,0.6104846138704465,0.6013061412503307,0.6104846138704465,0.6049681159291381,0.7268971704741858,4.358466625213623,0.5467771639042357,Decision Tree,8,1.0873782634735107,0.005186796188354492,success,,NV,12
0.7246777163904236,0.6093129177945037,0.612964532959149,0.6093129177945037,0.6108941065942661,0.7245748913906451,4.389294147491455,0.5506445672191529,Decision Tree,9,1.179973840713501,0.0051572322845458984,success,,NV,12
0.7252302025782689,0.5940773289996828,0.6040602477757107,0.5940773289996828,0.5979875441979697,0.72496968756807,4.380486011505127,0.5495395948434623,Decision Tree,10,1.111496925354004,0.005515098571777344,success,,NV,12
0.824363519174992,0.7057698512005938,0.7551263941053353,0.7057698512005938,0.7101748309452145,0.8248785928746247,0.641990065574646,0.2759573960945883,Random Forest,1,4.110167026519775,0.13043212890625,success,,NV,12
0.8222836095764272,0.7142741088615768,0.753053475099918,0.7142741088615768,0.7224290916965737,0.8226742567546868,0.6505289077758789,0.27870625037200525,Random Forest,2,4.028973817825317,0.12900495529174805,success,,NV,12
0.8205340699815838,0.7211506518718568,0.7191818857566874,0.7211506518718568,0.7147442248177033,0.8212271545816505,0.657089352607727,0.28078543290765,Random Forest,3,3.9975080490112305,0.12221407890319824,success,,NV,12
0.8259668508287292,0.7297077792908756,0.7667237655814584,0.7297077792908756,0.7329502809790384,0.8265036176365431,0.6383402943611145,0.2748484315986536,Random Forest,4,4.058939218521118,0.13052082061767578,success,,NV,12
0.8227900552486188,0.7283224063380582,0.7577390137145287,0.7283224063380582,0.7304287079393338,0.8228940768666506,0.653015673160553,0.2796203203571993,Random Forest,5,4.104090690612793,0.12553715705871582,success,,NV,12
0.8230284056903457,0.730184929046115,0.7451863800886428,0.730184929046115,0.7302994480124697,0.8232345879017683,0.6519087553024292,0.2792143957578568,Random Forest,6,4.172606945037842,0.12940430641174316,success,,NV,12
0.8218692449355433,0.6986566508667689,0.7086336167354466,0.6986566508667689,0.6991105970029912,0.8222386268115645,0.6548800468444824,0.2784081779706092,Random Forest,7,4.193082809448242,0.1249392032623291,success,,NV,12
0.8219613259668508,0.7314233804719545,0.7504407163489109,0.7314233804719545,0.7321306912899376,0.8225582381131558,0.637258768081665,0.27616542068610467,Random Forest,8,4.301209926605225,0.12613296508789062,success,,NV,12
0.8224677716390424,0.7329884663367895,0.7223854812752691,0.7329884663367895,0.7218734561491184,0.822676955938799,0.6552858352661133,0.27925452338401,Random Forest,9,4.3072288036346436,0.12983202934265137,success,,NV,12
0.8253222836095764,0.7121693768963445,0.7183893401898813,0.7121693768963445,0.7070257874636529,0.8261758087742515,0.6476234197616577,0.27726891460071645,Random Forest,10,4.2551679611206055,0.1281893253326416,success,,NV,12
0.13654988260209014,0.11481156914299974,0.1704926619265276,0.11481156914299974,0.08142128057097868,0.12777270714103017,5.5223870277404785,1.2156844866578076,Gaussian Naive Bayes,1,0.13623595237731934,0.011536836624145508,success,,NV,12
0.13278084714548802,0.10646624349166564,0.14684630372292307,0.10646624349166564,0.07725886027128855,0.12782422747482045,5.693889617919922,1.2546488803571123,Gaussian Naive Bayes,2,0.13411307334899902,0.012648820877075195,success,,NV,12
0.14392265193370166,0.10705302212926822,0.14909607127205263,0.10705302212926822,0.07995008086936069,0.13287189855121914,5.590153217315674,1.2026702340686737,Gaussian Naive Bayes,3,0.13143301010131836,0.010255098342895508,success,,NV,12
0.13779926335174955,0.11000033275849817,0.12746621702969943,0.11000033275849817,0.08033678323444252,0.1304884439592668,5.5509114265441895,1.2141915602094593,Gaussian Naive Bayes,4,0.12250614166259766,0.014488935470581055,success,,NV,12
0.12859116022099448,0.11137596205833972,0.13811394211231995,0.11137596205833972,0.0852142062158604,0.12678983998495683,5.747927665710449,1.2816236929956677,Gaussian Naive Bayes,5,0.12532711029052734,0.011722087860107422,success,,NV,12
0.14189033654067493,0.10937439600792391,0.19711241608529353,0.10937439600792391,0.08353726659529236,0.13683438469368794,5.641626834869385,1.2282290145470163,Gaussian Naive Bayes,6,0.12045478820800781,0.010360002517700195,success,,NV,12
